,Memory Name,Latency (ns),Read Uncached (GB/s),Write (GB/s),Price(USD),lien
1188,Crucial Technology BLS16G4D240FSC.16FAD 16GB,34,15.8,11.8,$62.99*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+BLS16G4D240FSC.16FAD+16GB&id=8933
1192,Crucial Technology BLS16G4D240FSE.16FAD 16GB,31,16.4,11.7,$63.99*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+BLS16G4D240FSE.16FAD+16GB&id=8750
1196,Crucial Technology BLS16G4D26BFSB.16FBD 16GB,29,16.2,11.7,$169.89*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+BLS16G4D26BFSB.16FBD+16GB&id=11661
1201,Crucial Technology BLS16G4D26BFSE.16FBD 16GB,29,16.8,13.8,$248.72*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+BLS16G4D26BFSE.16FBD+16GB&id=11014
1204,Crucial Technology BLS16G4D26BFST.16FD 16GB,31,16.7,14.6,$94.99,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+BLS16G4D26BFST.16FD+16GB&id=13020
1205,Crucial Technology BLS16G4D30AESB.M16FE 16GB,27,18.2,15.1,$74.99*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+BLS16G4D30AESB.M16FE+16GB&id=13217
1206,Crucial Technology BLS16G4D30AESC.M16FE 16GB,27,18.8,15.0,$96.04*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+BLS16G4D30AESC.M16FE+16GB&id=13248
1207,Crucial Technology BLS16G4D30AESE.M16FE 16GB,25,19.6,15.2,$74.99*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+BLS16G4D30AESE.M16FE+16GB&id=13107
1208,Crucial Technology BLS16G4D30BESB.16FD 16GB,51,17.4,13.6,$100.20*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+BLS16G4D30BESB.16FD+16GB&id=12802
1209,Crucial Technology BLS16G4D30CEST.16FD 16GB,29,17.4,13.5,$69.99*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+BLS16G4D30CEST.16FD+16GB&id=12668
1210,Crucial Technology BLS16G4D32AESB.M16FE 16GB,28,18.9,15.5,$94.99*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+BLS16G4D32AESB.M16FE+16GB&id=13069
1211,Crucial Technology BLS16G4D32AESC.M16FE 16GB,28,18.3,15.4,$89.99,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+BLS16G4D32AESC.M16FE+16GB&id=13216
1212,Crucial Technology BLS16G4D32AESE.M16FE 16GB,26,19.1,16.5,$94.49*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+BLS16G4D32AESE.M16FE+16GB&id=13090
1213,Crucial Technology BLS16G4D32AEST.M16FE 16GB,27,18.9,15.8,$77.99*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+BLS16G4D32AEST.M16FE+16GB&id=13223
1214,Crucial Technology BLS16G4S240FSD.16FAD 16GB,50,10.3,8.4,$79.95*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+BLS16G4S240FSD.16FAD+16GB&id=9200
1218,Crucial Technology BLS16G4S26BFSD.16FBD 16GB,36,14.9,12.1,$67.00,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+BLS16G4S26BFSD.16FBD+16GB&id=10736
1220,Crucial Technology BLS4G4D240FSA.8FAD 4GB,28,12.8,10.2,$27.99*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+BLS4G4D240FSA.8FAD+4GB&id=6658
1227,Crucial Technology BLS4G4D240FSA.M8FADM 4GB,40,13.9,10.8,$68.99*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+BLS4G4D240FSA.M8FADM+4GB&id=6424
1228,Crucial Technology BLS4G4D240FSB.8FADG 4GB,34,14.3,11.2,$39.00*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+BLS4G4D240FSB.8FADG+4GB&id=7833
1236,Crucial Technology BLS4G4D240FSC.8FARG 4GB,29,18.0,13.0,$26.99*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+BLS4G4D240FSC.8FARG+4GB&id=8595
1241,Crucial Technology BLS4G4D240FSE.8FAR 4GB,24,15.1,10.8,$74.07*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+BLS4G4D240FSE.8FAR+4GB&id=9412
1242,Crucial Technology BLS4G4D240FSE.8FBD 4GB,30,16.5,11.9,$18.99*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+BLS4G4D240FSE.8FBD+4GB&id=9016
1247,Crucial Technology BLS4G4D26BFSB.8FBD2 4GB,33,15.9,12.6,$36.97*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+BLS4G4D26BFSB.8FBD2+4GB&id=11347
1248,Crucial Technology BLS4G4D26BFSB.8FBR2 4GB,21,17.7,13.6,$115.37*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+BLS4G4D26BFSB.8FBR2+4GB&id=11252
1261,Crucial Technology BLS4G4S240FSD.8FAR 4GB,28,15.5,11.4,$18.00*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+BLS4G4S240FSD.8FAR+4GB&id=9772
1263,Crucial Technology BLS4G4S240FSD.M8FADM 4GB,25,15.4,12.5,$19.99*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+BLS4G4S240FSD.M8FADM+4GB&id=9605
1264,Crucial Technology BLS4G4S26BFSD.8FBD2 4GB,69,16.1,8.5,$18.99*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+BLS4G4S26BFSD.8FBD2+4GB&id=13185
1265,Crucial Technology BLS4G4S26BFSD.8FBR2 4GB,27,15.3,11.6,$85.35*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+BLS4G4S26BFSD.8FBR2+4GB&id=12413
1266,Crucial Technology BLS8G4D240FSA.16FAD 8GB,36,13.7,11.4,$134.99*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+BLS8G4D240FSA.16FAD+8GB&id=6593
1271,Crucial Technology BLS8G4D240FSA.M16FAD 8GB,38,14.5,11.0,$134.99*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+BLS8G4D240FSA.M16FAD+8GB&id=6423
